NEPA #,Type,Project Name,Lead Office,Program,NEPA Status,Document/Map Name,Days Left,Fiscal Year,NOI Date,Decision Date,FONSI Date,Latitude,Longitude, url
DOI-BLM-CA-N020-2025-0019-EA,EA,2025 Applegate Integrated Weed Management Plan,Applegate FO,Vegetation,Public Review and Comment Period,2025 Applegate Integrated Weed Management Plan - Preliminary PEA.pdf,08/29/2025,2025,,,,41.47460229067071,-120.60544036046807,
DOI-BLM-ID-B020-2025-0002-EA,EA,2025 Bruneau Field Office Competitive Geothermal Lease Sale,Bruneau FO,Renewable Energy,Public Review and Comment Period,2025 Bruneau Geothermal Leasing EA.pdf,08/29/2025,2025,,,,42.473228343453876,-116.12257368081671,https://eplanning.blm.gov/eplanning-ui/project/2035812/510
DOI-BLM-WY-0000-2025-0001-EA,EA,2025 Third Quarter Competitive Oil & Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Analysis & Document Preparation,2025-09.20250707.1419.WSO.921.Draft FONSI.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036327/510 
DOI-BLM-WY-0000-2025-0001-EA,EA,2025 Third Quarter Competitive Oil & Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Analysis & Document Preparation,2025-09.20250707.1421.WSO.921.Draft EA.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2036327/510
DOI-BLM-ID-T000-2025-0001-EA,EA,2025 Twin Falls District Competitive Geothermal Lease Sale,Twin Falls DO,Renewable Energy,Public Review and Comment Period,2025 Twin Falls District Geothermal Lease Sale EA - DRAFT 508.pdf,08/29/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039014/510
DOI-BLM-ID-T000-2025-0001-EA,EA,2025 Twin Falls District Competitive Geothermal Lease Sale,Twin Falls DO,Renewable Energy,Public Review and Comment Period,FONSI Geothermal-unsigned 508.pdf,08/29/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039014/510
DOI-BLM-WY-0000-2025-0003-EA,EA,2026 First Quarter Competitive Oil and Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2026-03 Soping Parcels Map.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039360/510
DOI-BLM-WY-0000-2025-0003-EA,EA,2026 First Quarter Competitive Oil and Gas Lease Sale,State Office - WY,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2026-03 Preliminary Parcel List.pdf,08/07/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2039360/510
DOI-BLM-UT-0000-2025-0003-EA,EA,BLM Utah 2025 Fourth Quarter Competitive Oil and Gas Lease Sale Environmental Assessment,State Office - UT,"Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)",Preparation and Planning,2025 Quarter 4 Lease Sale DOI-BLM-UT-0000-2025-00003-EA.pdf,08/08/2025,2025,,,,,,https://eplanning.blm.gov/eplanning-ui/project/2037591/510
DOI-BLM-CA-N020-2025-0018-EA,EA,Barnes Grade Recreation Area Management Plan,Applegate FO,Recreation and Visitor Services,Public Review and Comment Period,Barnes Grade Recreation Area Management Plan - Preliminary EA.pdf,08/29/2025,2025,,,,41.47460229067071,-120.60544036046807,https://eplanning.blm.gov/eplanning-ui/project/2039648/510
DOI-BLM-UT-C020-2025-0025-EA,EA,Beas Lewis Flat Campground,Richfield FO,Recreation and Visitor Services,Public Scoping Period,Beas Lewis Flat Campground-Public Scoping Document.pdf,08/14/2025,2025,,,,38.53458456897201,-111.30638538335316,https://eplanning.blm.gov/eplanning-ui/project/2039774/510
DOI-BLM-WY-P070-2025-0085-RMP-EA,RMP Amendment - EA,Buffalo RMP Amendment EA,Buffalo FO,null,Public Scoping Period,NOI_Published.pdf,08/07/2025,2025,07/08/2025,,,44.29230576463578,-106.2178408846448,https://eplanning.blm.gov/eplanning-ui/project/2039033/510
