"NEPA #","Type","Project Name","Lead Office","Program","NEPA Status","Document/Map Name","Days Left","Fiscal Year","NOI Date","Decision Date","FONSI Date"
"DOI-BLM-CA-N020-2025-0019-EA","EA","2025 Applegate Integrated Weed Management Plan","Applegate FO","Vegetation","Public Review and Comment Period","2025 Applegate Integrated Weed Management Plan - Preliminary PEA.pdf","08/29/2025","2025","","",""
"DOI-BLM-ID-B020-2025-0002-EA","EA","2025 Bruneau Field Office Competitive Geothermal Lease Sale","Bruneau FO","Renewable Energy","Public Review and Comment Period","2025 Bruneau Geothermal Leasing EA.pdf","08/29/2025","2025","","",""
"DOI-BLM-WY-0000-2025-0001-EA","EA","2025 Third Quarter Competitive Oil & Gas Lease Sale","State Office - WY","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Analysis & Document Preparation","2025-09.20250707.1419.WSO.921.Draft FONSI.pdf","08/07/2025","2025","","",""
"DOI-BLM-WY-0000-2025-0001-EA","EA","2025 Third Quarter Competitive Oil & Gas Lease Sale","State Office - WY","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Analysis & Document Preparation","2025-09.20250707.1421.WSO.921.Draft EA.pdf","08/07/2025","2025","","",""
"DOI-BLM-ID-T000-2025-0001-EA","EA","2025 Twin Falls District Competitive Geothermal Lease Sale","Twin Falls DO","Renewable Energy","Public Review and Comment Period","2025 Twin Falls District Geothermal Lease Sale EA - DRAFT 508.pdf","08/29/2025","2025","","",""
"DOI-BLM-ID-T000-2025-0001-EA","EA","2025 Twin Falls District Competitive Geothermal Lease Sale","Twin Falls DO","Renewable Energy","Public Review and Comment Period","FONSI Geothermal-unsigned 508.pdf","08/29/2025","2025","","",""
"DOI-BLM-WY-0000-2025-0003-EA","EA","2026 First Quarter Competitive Oil and Gas Lease Sale","State Office - WY","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Preparation and Planning","2026-03 Soping Parcels Map.pdf","08/07/2025","2025","","",""
"DOI-BLM-WY-0000-2025-0003-EA","EA","2026 First Quarter Competitive Oil and Gas Lease Sale","State Office - WY","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Preparation and Planning","2026-03 Preliminary Parcel List.pdf","08/07/2025","2025","","",""
"DOI-BLM-UT-0000-2025-0003-EA","EA","BLM Utah 2025 Fourth Quarter Competitive Oil and Gas Lease Sale Environmental Assessment","State Office - UT","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Preparation and Planning","2025 Quarter 4 Lease Sale DOI-BLM-UT-0000-2025-00003-EA.pdf","08/08/2025","2025","","",""
"DOI-BLM-CA-N020-2025-0018-EA","EA","Barnes Grade Recreation Area Management Plan","Applegate FO","Recreation and Visitor Services","Public Review and Comment Period","Barnes Grade Recreation Area Management Plan - Preliminary EA.pdf","08/29/2025","2025","","",""
"DOI-BLM-UT-C020-2025-0025-EA","EA","Beas Lewis Flat Campground","Richfield FO","Recreation and Visitor Services","Public Scoping Period","Beas Lewis Flat Campground-Public Scoping Document.pdf","08/14/2025","2025","","",""
"DOI-BLM-WY-P070-2025-0085-RMP-EA","RMP Amendment - EA","Buffalo RMP Amendment EA","Buffalo FO","null","Public Scoping Period","NOI_Published.pdf","08/07/2025","2025","07/08/2025","",""
"DOI-BLM-CA-C080-2025-0017-CX","CX","CACA106736767 Suter New Road ROW","Mother Lode FO","Lands and Realty","Public Review and Comment Period","CACA106736767_Suter_CX_508c.pdf","08/11/2025","2025","","",""
"DOI-BLM-CA-C080-2025-0018-CX","CX","CACA106738145 Martinez Road and Underground Water Pipeline ROW","Mother Lode FO","Lands and Realty","Public Review and Comment Period","CACA106738145_Martinez_ROW_CX_508c.pdf","08/11/2025","2025","","",""
"DOI-BLM-NV-B010-2025-0006-EA","EA","Callaghan Complex Herd Management Area Plan and Gather Plan","Mount Lewis FO","Wild Horses and Burros","Public Review and Comment Period","DRAFT_EA_CallaghanComplex.docx","09/03/2025","2025","","",""
"DOI-BLM-Eastern States-M000-2024-0007-EA","EA","Doe Run Company Plan of Operation Approval Project, Proposed Mine Plan Modifications","Northeastern States DO","Mining","Public Review and Comment Period","Draft EA_DoeRunPlanOfOperationsApproval_w all Appendices.pdf","09/02/2025","2024","","",""
"DOI-BLM-AK-F030-2025-0024-EA","EA","GWSN Ventures LLC Plan of Operations Modification along Chapman","Central Yukon FO","Mining","Analysis & Document Preparation","Proposed Action for ePlanning.pdf","08/21/2025","2025","","",""
"DOI-BLM-UT-C010-2025-0015-EA","EA","Gold Springs Historic Property Protection","Cedar City FO","Cultural-Historical-Native American Resources","Public Review and Comment Period","2025-07-07 Gold Springs Historic Properties Protection.pdf","08/06/2025","2025","","",""
"DOI-BLM-CA-C080-2025-0020-EA","EA","Granite Springs Allotment Grazing Use EA","Mother Lode FO","Livestock Grazing","Analysis & Document Preparation","Granite Springs Allotment Grazing Use_508c.pdf","08/06/2025","2025","","",""
"DOI-BLM-CA-C080-2025-0020-EA","EA","Granite Springs Allotment Grazing Use EA","Mother Lode FO","Livestock Grazing","Analysis & Document Preparation","Granite Springs Allotment_aerial.pdf","08/06/2025","2025","","",""
"DOI-BLM-UT-G020-2025-0019-EA","EA","Green River Classic Event Amendment","Price FO","Recreation and Visitor Services","Analysis & Document Preparation","GRC Amendment EA-FORCOMMENT.pdf","08/15/2025","2025","","",""
"DOI-BLM-ORWA-V000-2023-0058-EA","EA","Idaho Power - SpraKil SK-26","Vale DO","Lands and Realty","Public Review and Comment Period","IPC_DRAFT_EA_7.17.25.pdf","08/07/2025","2023","","",""
"DOI-BLM-ORWA-V000-2023-0058-EA","EA","Idaho Power - SpraKil SK-26","Vale DO","Lands and Realty","Public Review and Comment Period","IPC_FONSI_7.17.25.pdf","08/07/2025","2023","","",""
"DOI-BLM-ORWA-M050-2025-0006-DNA","DNA","Long Ferry Fuels Reduction Project","Butte Falls FO","Wildland Fire Management","Analysis & Document Preparation","Submissions Outside of Public Scoping or Comment Periods (1).pdf","08/31/2025","2025","","",""
"DOI-BLM-NV-L060-2025-0016-EA","EA","March 2026 Oil and Gas Lease Sale","Bristlecone FO","Fluid Minerals (Oil & Gas, Tar Sands, Oil Shale)","Public Scoping Period","EYDO March 2026 Oil and Gas Lease Sale Preliminary Parcel List.pdf","09/03/2025","2025","","",""
"DOI-BLM-Eastern States-M000-2025-0002-EA","EA","Meadowood Sensory Nature Trail","Northeastern States DO","Recreation and Visitor Services","Public Review and Comment Period","Meadowood Sensory Nature Trail_Draft FONSI_20250714.pdf","08/27/2025","2025","","",""
